,Date,Confirmed
0,05-19-2020,1530327
1,02-22-2021,28233518
2,01-27-2021,25659314
3,02-26-2021,28535390
4,05-01-2020,1104691
5,06-23-2021,33577651
6,07-27-2020,4301840
7,11-28-2020,13370035
8,03-04-2021,28901885
9,02-07-2021,27073661
10,05-10-2020,1330677
11,09-26-2020,7100978
12,09-19-2020,6785584
13,05-09-2020,1311126
14,07-14-2020,3444894
15,02-10-2021,27354614
16,03-12-2021,29352094
17,07-28-2020,4368573
18,07-06-2020,2948085
19,08-22-2020,5681061
20,06-17-2020,2168101
21,05-21-2021,33088579
22,01-28-2021,25828118
23,04-16-2021,31579238
24,03-21-2021,29824599
25,09-09-2020,6376556
26,10-06-2020,7528606
27,06-22-2021,33565215
28,11-22-2020,12360796
29,04-30-2020,1070488
30,03-15-2021,29499944
31,11-16-2020,11307207
32,06-03-2020,1853832
33,12-21-2020,18154356
34,02-13-2021,27647267
35,07-26-2020,4245157
36,04-25-2021,32081137
37,03-30-2021,30398351
38,07-01-2020,2698360
39,04-11-2021,31201411
40,06-15-2021,33486120
41,04-01-2021,30544235
42,10-12-2020,7837366
43,01-05-2021,21182522
44,07-31-2020,4576765
45,02-08-2021,27164099
46,01-08-2021,22011753
47,06-19-2021,33538049
48,07-29-2020,4440145
49,06-03-2021,33326529
50,12-13-2020,16433854
51,12-08-2020,15333921
52,04-14-2021,31424859
53,08-29-2020,5973091
54,05-21-2020,1578909
55,05-26-2021,33193775
56,03-20-2021,29790777
57,12-25-2020,18874122
58,06-19-2020,2228025
59,04-20-2021,31802945
60,12-11-2020,16028086
61,02-11-2021,27460378
62,07-04-2021,33717761
63,06-21-2020,2286116
64,12-29-2020,19630943
65,10-10-2020,7749120
66,04-19-2020,759495
67,06-30-2021,33664970
68,07-02-2021,33709325
69,05-11-2021,32782822
70,08-13-2020,5262982
71,03-24-2021,30016661
72,09-11-2020,6459350
73,06-05-2020,1905475
74,08-05-2020,4839286
75,04-02-2021,30614122
76,07-08-2020,3068467
77,08-16-2020,5415989
78,01-22-2021,24904093
79,06-18-2020,2196225
80,05-12-2021,32818648
81,06-17-2021,33508938
82,07-12-2020,3317628
83,10-08-2020,7637331
84,06-11-2020,2026805
85,05-03-2020,1158859
86,05-26-2020,1682562
87,03-19-2021,29735258
88,08-01-2020,4634005
89,10-24-2020,8625196
90,08-26-2020,5836270
91,04-29-2021,32292942
92,08-21-2020,5637403
93,08-18-2020,5497222
94,05-23-2020,1624155
95,06-12-2021,33457308
96,06-21-2021,33554275
97,03-16-2021,29553952
98,09-25-2020,7055685
99,11-02-2020,9384007
100,04-23-2020,869954
101,05-04-2020,1181277
102,06-26-2021,33621499
103,05-30-2021,33261817
104,05-20-2021,33060633
105,08-11-2020,5156196
106,11-27-2020,13214388
107,12-12-2020,16245883
108,12-10-2020,15787997
109,06-15-2020,2117422
110,03-08-2021,29112548
111,04-14-2020,608017
112,12-07-2020,15109469
113,10-09-2020,7693978
114,05-18-2021,33001126
115,06-29-2021,33651852
116,10-23-2020,8542268
117,04-29-2020,1041025
118,12-19-2020,17767638
119,11-30-2020,13670698
120,10-15-2020,8014552
121,04-26-2020,966392
122,02-28-2021,28651436
123,04-28-2021,32234691
124,07-01-2021,33679433
125,06-01-2021,33290532
126,10-14-2020,7949438
127,05-13-2020,1392010
128,03-14-2021,29443403
129,01-09-2021,22272720
130,11-11-2020,10495303
131,11-01-2020,9298152
132,11-03-2020,9511696
133,09-01-2020,6087733
134,12-28-2020,19430535
135,05-05-2021,32561573
136,09-02-2020,6127855
137,03-01-2021,28709536
138,11-20-2020,12034510
139,03-09-2021,29170215
140,12-06-2020,14915060
141,05-24-2021,33147060
142,08-25-2020,5792693
143,05-01-2021,32396252
144,08-04-2020,4785459
145,05-02-2020,1133576
146,10-19-2020,8258224
147,05-28-2020,1723667
148,02-09-2021,27259364
149,01-31-2021,26249342
150,12-27-2020,19256383
151,05-31-2020,1791873
152,07-24-2020,4124694
153,03-23-2021,29929723
154,02-02-2021,26499620
155,08-14-2020,5328324
156,04-22-2020,841117
157,09-29-2020,7216935
158,03-13-2021,29405125
159,05-24-2020,1644622
160,01-16-2021,23838471
161,06-27-2020,2519216
162,09-13-2020,6535293
163,03-28-2021,30267649
164,03-31-2021,30465116
165,05-06-2021,32609130
166,11-07-2020,10001300
167,05-25-2020,1663640
168,04-12-2021,31271490
169,05-29-2020,1748095
170,11-29-2020,13510327
171,06-06-2020,1928230
172,04-24-2020,906154
173,07-05-2020,2901747
174,01-01-2021,20254160
175,11-09-2020,10203318
176,05-30-2020,1772316
177,01-07-2021,21716496
178,03-22-2021,29876035
179,06-11-2021,33449080
180,09-15-2020,6609430
181,07-22-2020,3982265
182,06-10-2020,2004015
183,05-07-2020,1258204
184,05-15-2020,1444125
185,03-18-2021,29673607
186,11-25-2020,12893929
187,08-28-2020,5929028
188,06-13-2020,2078319
189,02-14-2021,27712402
190,05-08-2021,32690935
191,02-17-2021,27899318
192,06-09-2021,33409836
193,06-20-2020,2260846
194,04-25-2020,939099
195,12-14-2020,16628168
196,09-04-2020,6215556
197,12-01-2020,13859037
198,06-13-2021,33462085
199,04-24-2021,32048984
200,10-21-2020,8383099
201,10-05-2020,7483135
202,11-15-2020,11144637
203,01-14-2021,23393833
204,01-23-2021,25074852
205,10-17-2020,8140602
206,04-12-2020,555658
207,12-18-2020,17575536
