,Model,Team Name,forecast_date,target,target_end_date,location_name,State,fips,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
0,BPagano-RtDriven,BPagano,2021-04-26,1 wk ahead inc case,2021-05-03,National,National,US,451197.6,297212.06779,397031.41431,502988.36397,602807.71049
1,BPagano-RtDriven,BPagano,2021-04-26,2 wk ahead inc case,2021-05-10,National,National,US,451867.7,263272.99555,385527.33909,515298.7489,637553.0924399999
2,BPagano-RtDriven,BPagano,2021-04-26,3 wk ahead inc case,2021-05-17,National,National,US,433483.0,215924.38258,356954.24889,506655.63409,647685.5004
3,BPagano-RtDriven,BPagano,2021-04-26,4 wk ahead inc case,2021-05-24,National,National,US,392930.0,158320.47303,310403.39494,471837.45619,623920.37809
4,CEID-Walk,University of Georgia Center for the Ecology of Infectious Diseases Forecasting Working Group,2021-04-26,1 wk ahead inc case,2021-05-03,National,National,US,417406.546,327214.317,394817.985,445941.224,495915.777
5,CEID-Walk,University of Georgia Center for the Ecology of Infectious Diseases Forecasting Working Group,2021-04-26,2 wk ahead inc case,2021-05-10,National,National,US,416920.37,307839.659,377165.711,461782.792,525067.822
6,CEID-Walk,University of Georgia Center for the Ecology of Infectious Diseases Forecasting Working Group,2021-04-26,3 wk ahead inc case,2021-05-17,National,National,US,421300.872,313666.696,385602.856,468113.491,550267.317
7,CEID-Walk,University of Georgia Center for the Ecology of Infectious Diseases Forecasting Working Group,2021-04-26,4 wk ahead inc case,2021-05-24,National,National,US,427723.1,264481.352,379997.819,461737.244,600778.946
8,COVIDhub-baseline,COVID-19 Forecast Hub,2021-04-26,1 wk ahead inc case,2021-05-03,National,National,US,417100.0,190411.775,377454.5,456745.5,643788.225
9,COVIDhub-baseline,COVID-19 Forecast Hub,2021-04-26,2 wk ahead inc case,2021-05-10,National,National,US,417100.0,131969.185459855,344040.840250903,489834.595135951,701271.604010539
10,COVIDhub-baseline,COVID-19 Forecast Hub,2021-04-26,3 wk ahead inc case,2021-05-17,National,National,US,417100.0,69291.7212919631,312489.956089561,521055.67009920103,761410.125147751
11,COVIDhub-baseline,COVID-19 Forecast Hub,2021-04-26,4 wk ahead inc case,2021-05-24,National,National,US,417100.0,13883.564678646799,288724.110286103,542637.631438814,814561.8304628041
12,COVIDhub-ensemble,COVID-19 Forecast Hub,2021-04-26,1 wk ahead inc case,2021-05-03,National,National,US,405742.0,297212.0,367271.0,442670.0,542341.0
