"","CountryName","RegionName","Country_Region","IsSpecialty","Date","PredictedDailyNewCases","Percent_Immune","S","I","R","beta","gamma","Re"
"1","Afghanistan","","Afghanistan ",0,2020-12-19,"0",1.14114892012109,0.988100691460151,0.000487819338638225,0.0114114892012109,0.000924775997418436,0.055,0.0168141090439716
"2","Albania","","Albania ",0,2020-12-19,"0",12.737076312193,0.844424328748692,0.0282049081293781,0.12737076312193,0.112169134932033,0.055,2.03943881694605
"3","Algeria","","Algeria ",0,2020-12-19,"0",1.82141706820024,0.980331496782608,0.00145433253538958,0.0182141706820024,0.00560990064455478,0.055,0.10199819353736
"4","Andorra","","Andorra ",0,2020-12-19,"0",83.805086390992,0.102154921374491,0.0597942147155892,0.83805086390992,0.318384779654436,0.055,5.7888141755352
"5","Angola","","Angola ",0,2020-12-19,"0",0.442199224785822,0.995326990539116,0.000251017213026169,0.00442199224785822,0.00116837102790362,0.055,0.0212431095982476
"6","Argentina","","Argentina ",0,2020-12-19,"0",30.2583971678414,0.683529907021837,0.0138861212997481,0.302583971678414,0.0769319715599958,0.055,1.39876311927265
"7","Aruba","","Aruba ",0,2020-12-19,"0",43.5644306239814,0.548451754303804,0.0159039394563812,0.435644306239814,0.0955360320701347,0.055,1.73701876491154
"8","Australia","","Australia ",0,2020-12-19,"0",1.05080948603531,0.989434257818585,0.0000576473210623233,0.0105080948603531,0.000988239789639827,0.055,0.0179679961752696
"9","Austria","","Austria ",0,2020-12-19,"0",30.1072370996707,0.664472123039643,0.0344555059636494,0.301072370996707,0.152957930573355,0.055,2.78105328315191
"10","Azerbaijan","","Azerbaijan ",0,2020-12-19,"0",11.4860196720457,0.841581796929938,0.0435580063496051,0.114860196720457,0.219493251989509,0.055,3.99078639980925
"11","Bahamas","","Bahamas ",0,2020-12-19,"0",18.7724725583904,0.809319126536095,0.00295614788000114,0.187724725583904,0,0.055,0
"12","Bahrain","","Bahrain ",0,2020-12-19,"0",49.0591128807134,0.499094897374491,0.0103139738183742,0.490591128807134,0.0631179936235546,0.055,1.14759988406463
"13","Bangladesh","","Bangladesh ",0,2020-12-19,"0",2.7101608608249,0.971720355525286,0.00117803586646505,0.027101608608249,0.0046159624023851,0.055,0.0839265891342746
"14","Barbados","","Barbados ",0,2020-12-19,"0",0.922000869943454,0.990174510656807,0.000605480643758156,0.00922000869943454,0,0.055,0
"15","Belarus","","Belarus ",0,2020-12-19,"0",13.9429786148548,0.839295608179924,0.0212746056715276,0.139429786148548,0.123145274435611,0.055,2.23900498973838
"16","Belgium","","Belgium ",0,2020-12-19,"0",47.8230568845941,0.498706731012735,0.0230627001413247,0.478230568845941,0.140867394910085,0.055,2.56122536200155
"17","Belize","","Belize ",0,2020-12-19,"0",14.133411127989,0.799258603518867,0.0594072852012434,0.14133411127989,0,0.055,0
"18","Benin","","Benin ",0,2020-12-19,"0",0.246687585905773,0.997463065684746,0.0000700584561962912,0.00246687585905773,0,0.055,0
"19","Bermuda","","Bermuda ",0,2020-12-19,"0",4.00783583287838,0.935450720960853,0.0244709207103632,0.0400783583287838,0.183050194290119,0.055,3.32818535072944
"20","Bhutan","","Bhutan ",0,2020-12-19,"0",0.521747429704608,0.994551875162383,0.000230650540570635,0.00521747429704608,0,0.055,0
"21","Bolivia","","Bolivia ",0,2020-12-19,"0",11.9009192221962,0.878441339221441,0.0025494685565973,0.119009192221962,0.0319197575332041,0.055,0.580359227876438
"22","Bosnia and Herzegovina","","Bosnia and Herzegovina ",0,2020-12-19,"0",25.7206996179917,0.712729169149533,0.0300638346705502,0.257206996179917,0.11759258892368,0.055,2.13804707133964
"23","Botswana","","Botswana ",0,2020-12-19,"0",4.38518523558371,0.950351309965398,0.00579683767876453,0.0438518523558371,0,0.055,0
"24","Brazil","","Brazil ",0,2020-12-19,"0",28.615259515884,0.690521183542764,0.0233262212983958,0.28615259515884,0.14163663235866,0.055,2.57521149743018
"25","Brunei","","Brunei ",0,2020-12-19,"0",0.329158656758381,0.996694698488385,0.0000137149440315992,0.00329158656758381,0,0.055,0
"26","Bulgaria","","Bulgaria ",0,2020-12-19,"0",20.0747073625826,0.76276648948074,0.0364864368934344,0.200747073625826,0.0865229558555907,0.055,1.57314465191983
"27","Burkina Faso","","Burkina Faso ",0,2020-12-19,"0",0.132541922980196,0.99809390615527,0.000580674614927528,0.00132541922980196,0.00350184394568257,0.055,0.0636698899215013
"28","Burundi","","Burundi ",0,2020-12-19,"0",0.0555455384607104,0.999408213957969,0.0000363306574234298,0.000555455384607104,0.000504592464214302,0.055,0.00917440844026004
"29","Cambodia","","Cambodia ",0,2020-12-19,"0",0.0204703028533429,0.999782346051333,0.0000129509201334416,0.000204703028533429,0,0.055,0
"30","Cameroon","","Cameroon ",0,2020-12-19,"0",0.884024753687608,0.990880160874785,0.000279591588339019,0.00884024753687608,0.00569580276971971,0.055,0.10356005035854
"31","Canada","","Canada ",0,2020-12-19,"0",9.70518852739565,0.884079716276925,0.0188683984491187,0.0970518852739565,0.102680943965201,0.055,1.86692625391275
