Date,Confirmed,NewCases
2020-04-12,555658,
2020-04-13,580930,25272.0
2020-04-14,608017,27087.0
2020-04-15,636876,28859.0
2020-04-16,668157,31281.0
2020-04-17,700241,32084.0
2020-04-18,732697,32456.0
2020-04-19,759495,26798.0
2020-04-20,784824,25329.0
2020-04-21,812576,27752.0
2020-04-22,841117,28541.0
2020-04-23,869954,28837.0
2020-04-24,906154,36200.0
2020-04-25,939099,32945.0
2020-04-26,966392,27293.0
2020-04-27,988984,22592.0
2020-04-28,1013496,24512.0
2020-04-29,1041025,27529.0
2020-04-30,1070488,29463.0
2020-05-01,1104691,34203.0
2020-05-02,1133576,28885.0
2020-05-03,1158859,25283.0
2020-05-04,1181277,22418.0
2020-05-05,1205428,24151.0
2020-05-06,1229809,24381.0
2020-05-07,1258204,28395.0
2020-05-08,1285206,27002.0
2020-05-09,1311126,25920.0
2020-05-10,1330677,19551.0
2020-05-11,1349027,18350.0
2020-05-12,1371262,22235.0
2020-05-13,1392010,20748.0
2020-05-14,1419022,27012.0
2020-05-15,1444125,25103.0
2020-05-16,1469160,25035.0
2020-05-17,1488256,19096.0
2020-05-18,1509949,21693.0
2020-05-19,1530327,20378.0
2020-05-20,1553435,23108.0
2020-05-21,1578909,25474.0
2020-05-22,1602815,23906.0
2020-05-23,1624155,21340.0
2020-05-24,1644622,20467.0
2020-05-25,1663640,19018.0
2020-05-26,1682562,18922.0
2020-05-27,1701037,18475.0
2020-05-28,1723667,22630.0
2020-05-29,1748095,24428.0
2020-05-30,1772316,24221.0
2020-05-31,1791873,19557.0
2020-06-01,1812667,20794.0
2020-06-02,1833918,21251.0
2020-06-03,1853832,19914.0
2020-06-04,1875213,21381.0
2020-06-05,1905475,30262.0
2020-06-06,1928230,22755.0
2020-06-07,1946478,18248.0
2020-06-08,1964167,17689.0
2020-06-09,1982413,18246.0
2020-06-10,2004015,21602.0
2020-06-11,2026805,22790.0
2020-06-12,2052539,25734.0
2020-06-13,2078319,25780.0
2020-06-14,2097526,19207.0
2020-06-15,2117422,19896.0
