,location,target,forecast_date,target_end_date,point,Model
0,US,1 wk ahead inc case,2020-08-24,2020-08-29,276838.0,COVIDhub-4_week_ensemble
1,US,2 wk ahead inc case,2020-08-24,2020-09-05,248911.0,COVIDhub-4_week_ensemble
2,US,3 wk ahead inc case,2020-08-24,2020-09-12,229078.0,COVIDhub-4_week_ensemble
3,US,4 wk ahead inc case,2020-08-24,2020-09-19,204716.0,COVIDhub-4_week_ensemble
4,US,1 wk ahead inc case,2021-02-01,2021-02-06,995685.0,COVIDhub-4_week_ensemble
5,US,2 wk ahead inc case,2021-02-01,2021-02-13,939272.0,COVIDhub-4_week_ensemble
6,US,3 wk ahead inc case,2021-02-01,2021-02-20,844540.0,COVIDhub-4_week_ensemble
7,US,4 wk ahead inc case,2021-02-01,2021-02-27,760274.0,COVIDhub-4_week_ensemble
8,US,1 wk ahead inc case,2020-11-23,2020-11-28,1292124.0,COVIDhub-4_week_ensemble
9,US,2 wk ahead inc case,2020-11-23,2020-12-05,1434073.0,COVIDhub-4_week_ensemble
10,US,3 wk ahead inc case,2020-11-23,2020-12-12,1596827.0,COVIDhub-4_week_ensemble
11,US,4 wk ahead inc case,2020-11-23,2020-12-19,1701000.0,COVIDhub-4_week_ensemble
12,US,1 wk ahead inc case,2020-07-27,2020-08-01,454323.0,COVIDhub-4_week_ensemble
13,US,2 wk ahead inc case,2020-07-27,2020-08-08,468837.0,COVIDhub-4_week_ensemble
14,US,3 wk ahead inc case,2020-07-27,2020-08-15,478024.0,COVIDhub-4_week_ensemble
15,US,4 wk ahead inc case,2020-07-27,2020-08-22,473441.0,COVIDhub-4_week_ensemble
16,US,1 wk ahead inc case,2020-08-31,2020-09-05,273327.0,COVIDhub-4_week_ensemble
17,US,2 wk ahead inc case,2020-08-31,2020-09-12,267378.0,COVIDhub-4_week_ensemble
18,US,3 wk ahead inc case,2020-08-31,2020-09-19,262228.0,COVIDhub-4_week_ensemble
19,US,4 wk ahead inc case,2020-08-31,2020-09-26,246822.0,COVIDhub-4_week_ensemble
20,US,1 wk ahead inc case,2021-04-26,2021-05-01,405742.0,COVIDhub-4_week_ensemble
21,US,2 wk ahead inc case,2021-04-26,2021-05-08,374509.0,COVIDhub-4_week_ensemble
22,US,3 wk ahead inc case,2021-04-26,2021-05-15,360206.0,COVIDhub-4_week_ensemble
23,US,4 wk ahead inc case,2021-04-26,2021-05-22,340205.0,COVIDhub-4_week_ensemble
24,US,1 wk ahead inc case,2021-05-17,2021-05-22,207109.0,COVIDhub-4_week_ensemble
25,US,2 wk ahead inc case,2021-05-17,2021-05-29,171637.0,COVIDhub-4_week_ensemble
26,US,3 wk ahead inc case,2021-05-17,2021-06-05,145720.0,COVIDhub-4_week_ensemble
27,US,4 wk ahead inc case,2021-05-17,2021-06-12,126746.0,COVIDhub-4_week_ensemble
28,US,1 wk ahead inc case,2020-10-19,2020-10-24,388452.0,COVIDhub-4_week_ensemble
29,US,2 wk ahead inc case,2020-10-19,2020-10-31,388838.0,COVIDhub-4_week_ensemble
30,US,3 wk ahead inc case,2020-10-19,2020-11-07,392010.0,COVIDhub-4_week_ensemble
31,US,4 wk ahead inc case,2020-10-19,2020-11-14,388452.0,COVIDhub-4_week_ensemble
32,US,1 wk ahead inc case,2020-11-02,2020-11-07,568680.0,COVIDhub-4_week_ensemble
33,US,2 wk ahead inc case,2020-11-02,2020-11-14,614012.0,COVIDhub-4_week_ensemble
34,US,3 wk ahead inc case,2020-11-02,2020-11-21,665094.0,COVIDhub-4_week_ensemble
35,US,4 wk ahead inc case,2020-11-02,2020-11-28,703186.0,COVIDhub-4_week_ensemble
36,US,1 wk ahead inc case,2020-09-21,2020-09-26,265469.0,COVIDhub-4_week_ensemble
37,US,2 wk ahead inc case,2020-09-21,2020-10-03,259901.0,COVIDhub-4_week_ensemble
38,US,3 wk ahead inc case,2020-09-21,2020-10-10,253474.0,COVIDhub-4_week_ensemble
39,US,4 wk ahead inc case,2020-09-21,2020-10-17,252862.0,COVIDhub-4_week_ensemble
40,US,1 wk ahead inc case,2020-09-07,2020-09-12,272867.0,COVIDhub-4_week_ensemble
41,US,2 wk ahead inc case,2020-09-07,2020-09-19,276458.0,COVIDhub-4_week_ensemble
42,US,3 wk ahead inc case,2020-09-07,2020-09-26,273257.0,COVIDhub-4_week_ensemble
43,US,4 wk ahead inc case,2020-09-07,2020-10-03,261225.0,COVIDhub-4_week_ensemble
44,US,1 wk ahead inc case,2021-06-14,2021-06-19,86643.0,COVIDhub-4_week_ensemble
45,US,2 wk ahead inc case,2021-06-14,2021-06-26,73992.0,COVIDhub-4_week_ensemble
46,US,3 wk ahead inc case,2021-06-14,2021-07-03,63012.0,COVIDhub-4_week_ensemble
47,US,4 wk ahead inc case,2021-06-14,2021-07-10,56446.0,COVIDhub-4_week_ensemble
48,US,1 wk ahead inc case,2020-12-07,2020-12-12,1412966.0,COVIDhub-4_week_ensemble
49,US,2 wk ahead inc case,2020-12-07,2020-12-19,1491000.0,COVIDhub-4_week_ensemble
50,US,3 wk ahead inc case,2020-12-07,2020-12-26,1615927.0,COVIDhub-4_week_ensemble
51,US,4 wk ahead inc case,2020-12-07,2021-01-02,1599730.0,COVIDhub-4_week_ensemble
52,US,1 wk ahead inc case,2021-09-13,2021-09-18,965821.0,COVIDhub-4_week_ensemble
53,US,2 wk ahead inc case,2021-09-13,2021-09-25,921896.0,COVIDhub-4_week_ensemble
54,US,3 wk ahead inc case,2021-09-13,2021-10-02,848917.0,COVIDhub-4_week_ensemble
55,US,4 wk ahead inc case,2021-09-13,2021-10-09,778446.0,COVIDhub-4_week_ensemble
56,US,1 wk ahead inc case,2021-08-16,2021-08-21,1011957.0,COVIDhub-4_week_ensemble
57,US,2 wk ahead inc case,2021-08-16,2021-08-28,1182893.0,COVIDhub-4_week_ensemble
58,US,3 wk ahead inc case,2021-08-16,2021-09-04,1318664.0,COVIDhub-4_week_ensemble
59,US,4 wk ahead inc case,2021-08-16,2021-09-11,1372920.0,COVIDhub-4_week_ensemble
60,US,1 wk ahead inc case,2021-08-02,2021-08-07,624341.0,COVIDhub-4_week_ensemble
61,US,2 wk ahead inc case,2021-08-02,2021-08-14,775259.0,COVIDhub-4_week_ensemble
62,US,3 wk ahead inc case,2021-08-02,2021-08-21,974019.0,COVIDhub-4_week_ensemble
