Date,Confirmed,NewCases
2020-04-12,554990,
2020-04-13,580312,25322.0
2020-04-14,607025,26713.0
2020-04-15,636405,29380.0
2020-04-16,667947,31542.0
2020-04-17,699969,32022.0
2020-04-18,732471,32502.0
2020-04-19,759059,26588.0
2020-04-20,784356,25297.0
2020-04-21,812415,28059.0
2020-04-22,841109,28694.0
2020-04-23,869579,28470.0
2020-04-24,905791,36212.0
2020-04-25,938734,32943.0
2020-04-26,966113,27379.0
2020-04-27,988790,22677.0
2020-04-28,1013409,24619.0
2020-04-29,1040910,27501.0
2020-04-30,1070325,29415.0
2020-05-01,1104523,34198.0
2020-05-02,1133464,28941.0
2020-05-03,1158755,25291.0
2020-05-04,1181343,22588.0
2020-05-05,1205414,24071.0
2020-05-06,1229607,24193.0
2020-05-07,1258191,28584.0
2020-05-08,1285518,27327.0
2020-05-09,1310956,25438.0
2020-05-10,1330701,19745.0
2020-05-11,1348895,18194.0
2020-05-12,1371089,22194.0
2020-05-13,1391918,20829.0
2020-05-14,1418849,26931.0
2020-05-15,1443916,25067.0
2020-05-16,1469103,25187.0
2020-05-17,1488448,19345.0
2020-05-18,1510027,21579.0
2020-05-19,1530296,20269.0
2020-05-20,1553483,23187.0
2020-05-21,1578980,25497.0
2020-05-22,1602899,23919.0
2020-05-23,1624256,21357.0
2020-05-24,1644976,20720.0
2020-05-25,1663841,18865.0
2020-05-26,1682119,18278.0
2020-05-27,1701434,19315.0
2020-05-28,1723446,22012.0
2020-05-29,1748060,24614.0
2020-05-30,1772846,24786.0
2020-05-31,1792754,19908.0
2020-06-01,1813139,20385.0
2020-06-02,1834158,21019.0
2020-06-03,1854021,19863.0
2020-06-04,1875480,21459.0
2020-06-05,1905268,29788.0
2020-06-06,1928323,23055.0
2020-06-07,1946941,18618.0
2020-06-08,1963670,16729.0
2020-06-09,1981582,17912.0
2020-06-10,2003227,21645.0
2020-06-11,2025315,22088.0
2020-06-12,2051308,25993.0
2020-06-13,2077018,25710.0
2020-06-14,2096648,19630.0
2020-06-15,2115251,18603.0
2020-06-16,2139241,23990.0
2020-06-17,2166307,27066.0
2020-06-18,2194342,28035.0
2020-06-19,2226236,31894.0
2020-06-20,2259341,33105.0
2020-06-21,2285609,26268.0
2020-06-22,2317121,31512.0
2020-06-23,2353519,36398.0
2020-06-24,2390058,36539.0
2020-06-25,2430460,40402.0
2020-06-26,2476728,46268.0
2020-06-27,2518868,42140.0
2020-06-28,2560914,42046.0
2020-06-29,2600723,39809.0
2020-06-30,2648051,47328.0
2020-07-01,2699062,51011.0
2020-07-02,2753929,54867.0
2020-07-03,2808317,54388.0
2020-07-04,2856236,47919.0
2020-07-05,2906168,49932.0
2020-07-06,2952134,45966.0
2020-07-07,3011314,59180.0
2020-07-08,3070509,59195.0
2020-07-09,3131304,60795.0
2020-07-10,3199203,67899.0
2020-07-11,3260480,61277.0
2020-07-12,3320702,60222.0
2020-07-13,3378353,57651.0
2020-07-14,3445746,67393.0
2020-07-15,3513627,67881.0
2020-07-16,3589547,75920.0
2020-07-17,3660971,71424.0
2020-07-18,3726313,65342.0
2020-07-19,3788263,61950.0
2020-07-20,3848200,59937.0
2020-07-21,3914218,66018.0
2020-07-22,3984325,70107.0
2020-07-23,4052784,68459.0
2020-07-24,4127357,74573.0
2020-07-25,4192829,65472.0
2020-07-26,4250526,57697.0
2020-07-27,4307284,56758.0
2020-07-28,4370742,63458.0
2020-07-29,4439401,68659.0
2020-07-30,4507825,68424.0
2020-07-31,4576194,68369.0
2020-08-01,4635633,59439.0
2020-08-02,4682492,46859.0
2020-08-03,4728469,45977.0
2020-08-04,4784147,55678.0
2020-08-05,4839034,54887.0
2020-08-06,4896721,57687.0
2020-08-07,4957450,60729.0
2020-08-08,5013431,55981.0
2020-08-09,5062664,49233.0
2020-08-10,5108602,45938.0
2020-08-11,5161265,52663.0
2020-08-12,5213513,52248.0
2020-08-13,5264853,51340.0
2020-08-14,5330157,65304.0
2020-08-15,5380246,50089.0
2020-08-16,5420916,40670.0
2020-08-17,5456145,35229.0
2020-08-18,5499174,43029.0
2020-08-19,5542936,43762.0
2020-08-20,5587455,44519.0
2020-08-21,5636930,49475.0
2020-08-22,5681869,44939.0
2020-08-23,5716591,34722.0
2020-08-24,5751949,35358.0
2020-08-25,5792663,40714.0
2020-08-26,5835017,42354.0
2020-08-27,5881240,46223.0
2020-08-28,5928024,46784.0
2020-08-29,5973543,45519.0
2020-08-30,6008361,34818.0
2020-08-31,6043238,34877.0
2020-09-01,6086888,43650.0
2020-09-02,6126681,39793.0
2020-09-03,6163683,37002.0
2020-09-04,6214754,51071.0
2020-09-05,6258602,43848.0
2020-09-06,6289843,31241.0
2020-09-07,6314302,24459.0
2020-09-08,6339664,25362.0
2020-09-09,6374919,35255.0
2020-09-10,6409591,34672.0
2020-09-11,6457794,48203.0
2020-09-12,6500078,42284.0
2020-09-13,6534400,34322.0
2020-09-14,6567940,33540.0
2020-09-15,6607332,39392.0
2020-09-16,6645665,38333.0
2020-09-17,6691066,45401.0
2020-09-18,6740396,49330.0
2020-09-19,6783678,43282.0
2020-09-20,6823598,39920.0
2020-09-21,6874366,50768.0
2020-09-22,6914821,40455.0
2020-09-23,6952459,37638.0
2020-09-24,7000256,47797.0
2020-09-25,7053433,53177.0
2020-09-26,7098985,45552.0
2020-09-27,7137904,38919.0
2020-09-28,7170717,32813.0
2020-09-29,7215074,44357.0
2020-09-30,7255465,40391.0
2020-10-01,7301504,46039.0
2020-10-02,7356912,55408.0
2020-10-03,7406772,49860.0
2020-10-04,7442430,35658.0
2020-10-05,7481105,38675.0
2020-10-06,7526668,45563.0
2020-10-07,7576704,50036.0
2020-10-08,7635889,59185.0
2020-10-09,7692828,56939.0
2020-10-10,7748508,55680.0
2020-10-11,7795151,46643.0
2020-10-12,7837239,42088.0
2020-10-13,7888967,51728.0
2020-10-14,7948161,59194.0
2020-10-15,8013457,65296.0
2020-10-16,8082686,69229.0
2020-10-17,8140041,57355.0
2020-10-18,8191016,50975.0
2020-10-19,8258457,67441.0
2020-10-20,8320381,61924.0
2020-10-21,8382930,62549.0
2020-10-22,8459251,76321.0
2020-10-23,8542587,83336.0
2020-10-24,8626036,83449.0
2020-10-25,8688863,62827.0
2020-10-26,8755826,66963.0
2020-10-27,8833954,78128.0
2020-10-28,8912654,78700.0
2020-10-29,9004094,91440.0
2020-10-30,9104529,100435.0
2020-10-31,9194923,90394.0
2020-11-01,9300256,105333.0
2020-11-02,9384958,84702.0
2020-11-03,9513194,128236.0
2020-11-04,9616683,103489.0
2020-11-05,9746671,129988.0
2020-11-06,9874827,128156.0
2020-11-07,10006526,131699.0
2020-11-08,10130232,123706.0
2020-11-09,10207026,76794.0
2020-11-10,10351878,144852.0
2020-11-11,10499899,148021.0
2020-11-12,10662955,163056.0
2020-11-13,10843985,181030.0
2020-11-14,11015000,171015.0
2020-11-15,11151863,136863.0
2020-11-16,11312597,160734.0
2020-11-17,11476316,163719.0
2020-11-18,11649726,173410.0
2020-11-19,11841379,191653.0
2020-11-20,12043059,201680.0
2020-11-21,12223903,180844.0
2020-11-22,12370050,146147.0
2020-11-23,12543174,173124.0
2020-11-24,12720450,177276.0
2020-11-25,12905298,184848.0
2020-11-26,13021472,116174.0
2020-11-27,13226451,204979.0
2020-11-28,13384061,157610.0
2020-11-29,13524430,140369.0
2020-11-30,13681219,156789.0
2020-12-01,13875057,193838.0
2020-12-02,14079202,204145.0
2020-12-03,14303710,224508.0
2020-12-04,14538416,234706.0
2020-12-05,14759133,220717.0
2020-12-06,14937723,178590.0
2020-12-07,15129269,191546.0
2020-12-08,15359793,230524.0
2020-12-09,15581327,221534.0
2020-12-10,15815581,234254.0
2020-12-11,16056302,240721.0
2020-12-12,16276348,220046.0
2020-12-13,16463227,186879.0
2020-12-14,16665174,201947.0
2020-12-15,16886630,221456.0
2020-12-16,17127062,240432.0
2020-12-17,17364575,237513.0
2020-12-18,17613067,248492.0
2020-12-19,17814211,201144.0
2020-12-20,17999527,185316.0
2020-12-21,18190799,191272.0
2020-12-22,18392008,201209.0
2020-12-23,18617432,225424.0
2020-12-24,18822709,205277.0
2020-12-25,18930694,107985.0
2020-12-26,19149187,218493.0
2020-12-27,19303663,154476.0
2020-12-28,19471624,167961.0
2020-12-29,19672827,201203.0
2020-12-30,19894585,221758.0
2020-12-31,20153402,258817.0
2021-01-01,20318085,164683.0
2021-01-02,20614548,296463.0
2021-01-03,20817609,203061.0
2021-01-04,21000261,182652.0
2021-01-05,21231484,231223.0
2021-01-06,21487791,256307.0
2021-01-07,21776472,288681.0
2021-01-08,22079480,303008.0
2021-01-09,22338581,259101.0
2021-01-10,22551280,212699.0
2021-01-11,22763288,212008.0
2021-01-12,22981721,218433.0
2021-01-13,23211213,229492.0
2021-01-14,23449840,238627.0
2021-01-15,23696032,246192.0
2021-01-16,23904124,208092.0
2021-01-17,24080564,176440.0
2021-01-18,24221315,140751.0
2021-01-19,24386731,165416.0
2021-01-20,24572027,185296.0
2021-01-21,24764012,191985.0
2021-01-22,24953367,189355.0
2021-01-23,25127612,174245.0
2021-01-24,25265203,137591.0
2021-01-25,25408108,142905.0
2021-01-26,25552460,144352.0
2021-01-27,25707757,155297.0
2021-01-28,25874333,166576.0
2021-01-29,26041088,166755.0
2021-01-30,26185789,144701.0
2021-01-31,26300945,115156.0
2021-02-01,26430577,129632.0
2021-02-02,26544801,114224.0
2021-02-03,26667865,123064.0
2021-02-04,26791814,123949.0
2021-02-05,26923109,131295.0
2021-02-06,27033834,110725.0
2021-02-07,27125342,91508.0
2021-02-08,27211257,85915.0
2021-02-09,27305453,94196.0
2021-02-10,27401301,95848.0
2021-02-11,27507436,106135.0
2021-02-12,27607264,99828.0
2021-02-13,27695855,88591.0
2021-02-14,27762153,66298.0
2021-02-15,27816631,54478.0
2021-02-16,27875793,59162.0
2021-02-17,27945821,70028.0
2021-02-18,28017130,71309.0
2021-02-19,28095265,78135.0
2021-02-20,28168394,73129.0
2021-02-21,28226143,57749.0
2021-02-22,28281284,55141.0
2021-02-23,28353211,71927.0
2021-02-24,28428219,75008.0
2021-02-25,28506209,77990.0
2021-02-26,28583890,77681.0
2021-02-27,28649626,65736.0
2021-02-28,28701619,51993.0
2021-03-01,28757042,55423.0
2021-03-02,28813958,56916.0
2021-03-03,28881157,67199.0
2021-03-04,28949399,68242.0
2021-03-05,29016324,66925.0
2021-03-06,29075157,58833.0
2021-03-07,29117182,42025.0
2021-03-08,29161858,44676.0
2021-03-09,29217808,55950.0
2021-03-10,29275985,58177.0
2021-03-11,29338766,62781.0
2021-03-12,29400373,61607.0
2021-03-13,29453931,53558.0
2021-03-14,29492633,38702.0
2021-03-15,29547870,55237.0
2021-03-16,29602188,54318.0
2021-03-17,29661546,59358.0
2021-03-18,29721881,60335.0
2021-03-19,29783849,61968.0
2021-03-20,29840475,56626.0
2021-03-21,29875077,34602.0
2021-03-22,29925187,50110.0
2021-03-23,29978562,53375.0
2021-03-24,30065444,86882.0
2021-03-25,30133300,67856.0
2021-03-26,30210764,77464.0
2021-03-27,30274586,63822.0
2021-03-28,30318223,43637.0
2021-03-29,30386552,68329.0
2021-03-30,30447766,61214.0
2021-03-31,30514599,66833.0
2021-04-01,30593734,79135.0
2021-04-02,30664640,70906.0
2021-04-03,30728394,63754.0
2021-04-04,30764557,36163.0
2021-04-05,30839424,74867.0
2021-04-06,30900320,60896.0
2021-04-07,30975313,74993.0
2021-04-08,31055433,80120.0
2021-04-09,31139621,84188.0
2021-04-10,31208267,68646.0
2021-04-11,31254334,46067.0
2021-04-12,31322572,68238.0
2021-04-13,31400634,78062.0
2021-04-14,31476253,75619.0
2021-04-15,31550217,73964.0
2021-04-16,31630453,80236.0
2021-04-17,31683798,53345.0
2021-04-18,31726371,42573.0
2021-04-19,31793519,67148.0
2021-04-20,31854271,60752.0
2021-04-21,31918060,63789.0
2021-04-22,31984543,66483.0
2021-04-23,32047612,63069.0
2021-04-24,32101251,53639.0
2021-04-25,32134231,32980.0
2021-04-26,32180714,46483.0
2021-04-27,32231164,50450.0
2021-04-28,32286415,55251.0
2021-04-29,32344914,58499.0
2021-04-30,32403013,58099.0
2021-05-01,32449229,46216.0
2021-05-02,32478988,29759.0
2021-05-03,32528524,49536.0
2021-05-04,32568609,40085.0
2021-05-05,32613809,45200.0
2021-05-06,32661613,47804.0
2021-05-07,32709169,47556.0
2021-05-08,32743468,34299.0
2021-05-09,32765326,21858.0
2021-05-10,32801148,35822.0
2021-05-11,32834742,33594.0
2021-05-12,32870655,35913.0
2021-05-13,32909594,38939.0
2021-05-14,32951206,41612.0
2021-05-15,32980549,29343.0
2021-05-16,32997771,17222.0
2021-05-17,33026143,28372.0
2021-05-18,33053569,27426.0
2021-05-19,33082826,29257.0
2021-05-20,33113020,30194.0
2021-05-21,33141191,28171.0
2021-05-22,33161623,20432.0
2021-05-23,33174894,13271.0
2021-05-24,33199936,25042.0
2021-05-25,33222554,22618.0
2021-05-26,33246937,24383.0
2021-05-27,33274237,27300.0
2021-05-28,33296016,21779.0
2021-05-29,33308485,12469.0
2021-05-30,33315411,6926.0
2021-05-31,33321318,5907.0
2021-06-01,33343437,22119.0
2021-06-02,33360335,16898.0
2021-06-03,33379505,19170.0
2021-06-04,33396416,16911.0
2021-06-05,33410720,14304.0
2021-06-06,33416394,5674.0
2021-06-07,33431551,15157.0
2021-06-08,33444414,12863.0
2021-06-09,33463318,18904.0
2021-06-10,33477742,14424.0
2021-06-11,33502472,24730.0
2021-06-12,33511160,8688.0
2021-06-13,33516317,5157.0
2021-06-14,33528666,12349.0
2021-06-15,33539499,10833.0
2021-06-16,33552048,12549.0
2021-06-17,33562682,10634.0
2021-06-18,33583876,21194.0
2021-06-19,33592361,8485.0
2021-06-20,33596817,4456.0
2021-06-21,33608504,11687.0
2021-06-22,33619193,10689.0
2021-06-23,33632185,12992.0
2021-06-24,33645946,13761.0
2021-06-25,33670270,24324.0
2021-06-26,33678909,8639.0
2021-06-27,33683160,4251.0
2021-06-28,33697734,14574.0
2021-06-29,33704435,6701.0
2021-06-30,33720668,16233.0
2021-07-01,33735128,14460.0
2021-07-02,33764543,29415.0
2021-07-03,33769155,4612.0
2021-07-04,33772912,3757.0
2021-07-05,33781540,8628.0
2021-07-06,33804554,23014.0
2021-07-07,33827554,23000.0
2021-07-08,33846661,19107.0
2021-07-09,33894305,47644.0
2021-07-10,33902576,8271.0
2021-07-11,33913372,10796.0
2021-07-12,33947038,33666.0
2021-07-13,33973254,26216.0
2021-07-14,34005961,32707.0
2021-07-15,34036005,30044.0
2021-07-16,34113896,77891.0
2021-07-17,34125588,11692.0
2021-07-18,34144833,19245.0
2021-07-19,34195939,51106.0
2021-07-20,34237699,41760.0
2021-07-21,34288090,50391.0
2021-07-22,34342824,54734.0
2021-07-23,34463211,120387.0
2021-07-24,34488225,25014.0
2021-07-25,34512339,24114.0
2021-07-26,34599292,86953.0
2021-07-27,34667706,68414.0
2021-07-28,34736794,69088.0
2021-07-29,34816318,79524.0
2021-07-30,35005454,189136.0
2021-07-31,35037748,32294.0
2021-08-01,35079201,41453.0
2021-08-02,35199917,120716.0
2021-08-03,35302666,102749.0
2021-08-04,35399511,96845.0
2021-08-05,35510175,110664.0
2021-08-06,35765256,255081.0
2021-08-07,35813996,48740.0
2021-08-08,35840559,26563.0
2021-08-09,36021704,181145.0
2021-08-10,36142636,120932.0
2021-08-11,36298781,156145.0
2021-08-12,36440680,141899.0
2021-08-13,36670508,229828.0
2021-08-14,36719404,48896.0
2021-08-15,36761131,41727.0
2021-08-16,36981165,220034.0
2021-08-17,37133322,152157.0
2021-08-18,37291959,158637.0
2021-08-19,37449029,157070.0
2021-08-20,37694614,245585.0
2021-08-21,37760583,65969.0
2021-08-22,37796554,35971.0
2021-08-23,38034573,238019.0
2021-08-24,38191263,156690.0
2021-08-25,38360956,169693.0
2021-08-26,38545394,184438.0
2021-08-27,38788405,243011.0
2021-08-28,38849016,60611.0
2021-08-29,38891134,42118.0
2021-08-30,39151089,259955.0
2021-08-31,39321940,170851.0
2021-09-01,39523951,202011.0
2021-09-02,39699776,175825.0
2021-09-03,39934620,234844.0
2021-09-04,39999063,64443.0
2021-09-05,40039351,40288.0
2021-09-06,40114538,75187.0
2021-09-07,40391566,277028.0
2021-09-08,40573789,182223.0
2021-09-09,40733378,159589.0
2021-09-10,40961390,228012.0
2021-09-11,41025645,64255.0
2021-09-12,41061504,35859.0
2021-09-13,41322259,260755.0
2021-09-14,41467287,145028.0
2021-09-15,41638554,171267.0
2021-09-16,41793484,154930.0
2021-09-17,42001556,208072.0
2021-09-18,42058315,56759.0
2021-09-19,42094648,36333.0
2021-09-20,42296425,201777.0
2021-09-21,42417661,121236.0
2021-09-22,42550081,132420.0
2021-09-23,42675919,125838.0
2021-09-24,42853371,177452.0
2021-09-25,42900903,47532.0
2021-09-26,42931861,30958.0
2021-09-27,43116877,185016.0
2021-09-28,43226482,109605.0
2021-09-29,43349749,123267.0
2021-09-30,43460343,110594.0
2021-10-01,43618627,158284.0
2021-10-02,43657833,39206.0
2021-10-03,43683048,25215.0
2021-10-04,43852255,169207.0
2021-10-05,43947324,95069.0
2021-10-06,44058827,111503.0
2021-10-07,44158910,100083.0
2021-10-08,44290052,131142.0
2021-10-09,44317553,27501.0
